frame,north,south,east,west,phase,time
690,0,18,0,15,NS,12
691,0,21,0,15,NS,13
692,0,24,0,15,NS,14
693,0,12,0,15,NS,6
694,0,15,0,15,NS,4
695,0,15,0,15,NS,3
696,0,15,0,15,NS,3
697,0,15,0,15,NS,2
698,3,0,0,15,EW,46
699,3,0,0,15,EW,45
700,3,0,0,15,EW,45
701,3,0,0,15,EW,44
702,3,0,0,15,EW,44
703,0,3,0,15,EW,43
704,0,6,0,15,EW,43
705,0,9,0,15,EW,37
706,0,12,0,15,EW,42
707,0,15,0,15,EW,36
708,0,0,0,15,EW,41
709,0,3,0,15,EW,40
710,0,6,0,15,EW,40
711,0,6,0,15,EW,39
712,0,3,0,15,EW,39
713,0,6,0,15,EW,38
714,0,6,0,15,EW,38
715,0,3,0,15,EW,37
716,0,0,0,15,EW,37
717,0,0,0,15,EW,36
718,0,0,0,15,EW,36
719,0,0,0,15,EW,35
720,0,0,0,15,EW,35
721,3,0,0,15,EW,34
722,3,0,0,15,EW,34
723,3,0,0,15,EW,33
724,3,0,1,15,EW,33
725,6,0,1,15,EW,32
726,3,0,2,15,EW,27
727,3,0,3,15,EW,31
728,3,0,4,15,EW,31
729,3,0,5,15,EW,30
730,0,0,0,15,EW,30
731,0,0,0,15,EW,29
732,0,0,0,15,EW,29
733,0,0,0,15,EW,28
734,0,0,0,15,EW,28
735,0,0,0,15,EW,27
736,0,0,0,15,EW,27
737,0,0,0,15,EW,26
738,0,0,0,15,EW,26
739,0,0,0,15,EW,25
740,0,0,0,15,EW,25
741,0,0,0,15,EW,24
742,0,0,0,15,EW,24
743,0,0,0,15,EW,23
744,0,0,0,15,EW,23
745,0,0,0,15,EW,22
746,0,0,0,15,EW,22
747,0,0,0,15,EW,21
748,0,0,0,15,EW,21
749,0,0,0,15,EW,20
750,0,0,0,15,EW,20
751,0,0,0,15,EW,19
752,0,0,0,15,EW,19
753,0,0,0,15,EW,18
754,0,0,0,15,EW,18
755,0,0,0,15,EW,17
756,0,1,0,15,EW,17
757,0,1,0,15,EW,16
758,0,1,0,15,EW,16
759,0,1,0,15,EW,15
760,0,1,0,15,EW,15
761,0,0,0,15,EW,14
762,0,1,0,15,EW,14
763,0,2,0,15,EW,13
